Country,Date,Event,Event Type
Albania,2020-10-21,School closure [2]: required closing for some,School closure
Albania,2020-10-21,Workplace closure [0]: no measures,Workplace closure
Algeria,2020-01-01,International travel [0]: no measures,International travel
Algeria,2020-01-01,Public campaign [0]: no measures,Public campaign
Algeria,2020-01-01,Public events [0]: no measures,Public events
Algeria,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Algeria,2020-01-01,School closure [0]: no measures,School closure
Algeria,2020-03-05,Public campaign [1]: public officials urging caution,Public campaign
Algeria,2020-03-10,Public events [2]: required cancellation,Public events
Algeria,2020-03-12,International travel [1]: screening,International travel
Algeria,2020-03-12,School closure [3]: required closing for all,School closure
Algeria,2020-03-14,International travel [3]: Ban on high-risk regions,International travel
Algeria,2020-03-17,International travel [4]: Total border closure,International travel
Algeria,2020-03-23,Internal movement [2]: required restriction,Internal movement
Algeria,2020-03-23,Public transport [2]: required closure,Public transport
Algeria,2020-03-23,Stay at home [3]: required with minimal exception,Stay at home
Algeria,2020-03-23,Workplace closure [2]: required closing for some,Workplace closure
Algeria,2020-03-30,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Algeria,2020-03-30,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Algeria,2020-04-14,Public campaign [2]: coordinated public information campaign,Public campaign
Algeria,2020-04-24,Internal movement [0]: no measures,Internal movement
Algeria,2020-04-24,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Algeria,2020-04-24,Stay at home [2]: required with exception,Stay at home
Algeria,2020-04-24,Workplace closure [2]: required closing for some,Workplace closure
Algeria,2020-05-12,Internal movement [2]: required restriction,Internal movement
Algeria,2020-05-14,Internal movement [0]: no measures,Internal movement
Algeria,2020-06-14,Public transport [0]: no measures,Public transport
Algeria,2020-07-10,Internal movement [2]: required restriction,Internal movement
Algeria,2020-07-27,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Algeria,2020-08-08,Public transport [2]: required closure,Public transport
Algeria,2020-08-15,Public events [1]: recommended cancellation,Public events
Algeria,2020-08-15,Public gatherings [0]: no measures,Public gatherings
Algeria,2020-08-18,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Algeria,2020-09-01,School closure [2]: required closing for some,School closure
Andorra,2020-01-01,Internal movement [0]: no measures,Internal movement
Andorra,2020-01-01,International travel [0]: no measures,International travel
Andorra,2020-01-01,Public campaign [0]: no measures,Public campaign
Andorra,2020-01-01,Public events [0]: no measures,Public events
Andorra,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Andorra,2020-01-01,Public transport [0]: no measures,Public transport
Andorra,2020-01-01,School closure [0]: no measures,School closure
Andorra,2020-01-01,Stay at home [0]: no measures,Stay at home
Andorra,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Andorra,2020-03-13,Public events [1]: recommended cancellation,Public events
Andorra,2020-03-13,Stay at home [1]: recommended,Stay at home
Andorra,2020-03-14,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Andorra,2020-03-16,School closure [3]: required closing for all,School closure
Andorra,2020-03-25,Public campaign [2]: coordinated public information campaign,Public campaign
Andorra,2020-03-25,Public transport [1]: recommended closure or volume reduction,Public transport
Andorra,2020-04-08,International travel [3]: Ban on high-risk regions,International travel
Andorra,2020-04-20,Workplace closure [2]: required closing for some,Workplace closure
Andorra,2020-05-11,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Andorra,2020-06-02,School closure [0]: no measures,School closure
Andorra,2020-07-01,Public campaign [0]: no measures,Public campaign
Andorra,2020-07-07,Public events [2]: required cancellation,Public events
Andorra,2020-07-07,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Andorra,2020-07-21,Public events [1]: recommended cancellation,Public events
Andorra,2020-07-22,Public campaign [1]: public officials urging caution,Public campaign
Andorra,2020-09-21,Public events [2]: required cancellation,Public events
Andorra,2020-09-21,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Andorra,2020-10-16,School closure [1]: recommended closing,School closure
Angola,2020-01-01,International travel [0]: no measures,International travel
Angola,2020-01-01,Public campaign [0]: no measures,Public campaign
Angola,2020-01-01,Public events [0]: no measures,Public events
Angola,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Angola,2020-01-01,Public transport [0]: no measures,Public transport
Angola,2020-01-01,School closure [0]: no measures,School closure
Angola,2020-01-01,Stay at home [0]: no measures,Stay at home
Angola,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Angola,2020-02-06,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Angola,2020-03-01,International travel [3]: Ban on high-risk regions,International travel
Angola,2020-03-20,International travel [4]: Total border closure,International travel
Angola,2020-03-24,Public campaign [1]: public officials urging caution,Public campaign
Angola,2020-03-24,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Angola,2020-03-24,School closure [3]: required closing for all,School closure
Angola,2020-03-27,Internal movement [2]: required restriction,Internal movement
Angola,2020-03-27,Public events [2]: required cancellation,Public events
Angola,2020-03-27,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Angola,2020-03-27,Public transport [2]: required closure,Public transport
Angola,2020-03-27,Stay at home [2]: required with exception,Stay at home
Angola,2020-03-27,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Angola,2020-04-23,Public transport [1]: recommended closure or volume reduction,Public transport
Angola,2020-04-23,Workplace closure [2]: required closing for some,Workplace closure
Angola,2020-05-08,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Angola,2020-05-17,Public campaign [2]: coordinated public information campaign,Public campaign
Angola,2020-05-26,Stay at home [1]: recommended,Stay at home
Angola,2020-07-09,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Angola,2020-07-09,Stay at home [2]: required with exception,Stay at home
Angola,2020-09-16,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Angola,2020-09-16,Stay at home [1]: recommended,Stay at home
Angola,2020-10-05,School closure [2]: required closing for some,School closure
Angola,2020-10-09,International travel [4]: Total border closure,International travel
Angola,2020-10-09,Public events [1]: recommended cancellation,Public events
Anguilla,2020-01-01,Internal movement [0]: no measures,Internal movement
Anguilla,2020-01-01,International travel [0]: no measures,International travel
Anguilla,2020-01-01,Public campaign [0]: no measures,Public campaign
Anguilla,2020-01-01,Public events [0]: no measures,Public events
Anguilla,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Anguilla,2020-01-01,Public transport [0]: no measures,Public transport
Anguilla,2020-01-01,School closure [0]: no measures,School closure
Anguilla,2020-01-01,Stay at home [0]: no measures,Stay at home
Anguilla,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Anguilla,2020-01-29,Public campaign [1]: public officials urging caution,Public campaign
Anguilla,2020-02-03,International travel [1]: screening,International travel
Anguilla,2020-03-13,Public campaign [2]: coordinated public information campaign,Public campaign
Anguilla,2020-03-15,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Anguilla,2020-03-16,School closure [3]: required closing for all,School closure
Anguilla,2020-03-17,International travel [3]: Ban on high-risk regions,International travel
Anguilla,2020-03-17,Public events [1]: recommended cancellation,Public events
Anguilla,2020-03-27,Public events [2]: required cancellation,Public events
Anguilla,2020-03-27,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Anguilla,2020-03-27,Stay at home [2]: required with exception,Stay at home
Anguilla,2020-03-27,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Anguilla,2020-03-30,International travel [4]: Total border closure,International travel
Anguilla,2020-04-08,Internal movement [2]: required restriction,Internal movement
Anguilla,2020-04-22,Workplace closure [2]: required closing for some,Workplace closure
Anguilla,2020-04-29,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Anguilla,2020-04-29,Stay at home [0]: no measures,Stay at home
Anguilla,2020-04-29,Workplace closure [0]: no measures,Workplace closure
Anguilla,2020-05-11,School closure [2]: required closing for some,School closure
Anguilla,2020-06-01,Public events [0]: no measures,Public events
Anguilla,2020-06-01,Public gatherings [0]: no measures,Public gatherings
Anguilla,2020-07-30,Internal movement [0]: no measures,Internal movement
Anguilla,2020-07-31,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Argentina,2020-01-01,International travel [0]: no measures,International travel
Argentina,2020-01-01,Public campaign [0]: no measures,Public campaign
Argentina,2020-01-01,School closure [0]: no measures,School closure
Argentina,2020-01-23,Public campaign [2]: coordinated public information campaign,Public campaign
Argentina,2020-03-11,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Argentina,2020-03-11,Public events [2]: required cancellation,Public events
Argentina,2020-03-16,International travel [4]: Total border closure,International travel
Argentina,2020-03-16,School closure [3]: required closing for all,School closure
Argentina,2020-03-19,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Argentina,2020-03-19,Stay at home [3]: required with minimal exception,Stay at home
Argentina,2020-03-19,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Argentina,2020-03-20,Internal movement [2]: required restriction,Internal movement
Argentina,2020-03-23,Public transport [2]: required closure,Public transport
Argentina,2020-04-27,Internal movement [1]: recommended refrain,Internal movement
Argentina,2020-04-27,Stay at home [2]: required with exception,Stay at home
Argentina,2020-05-11,Internal movement [2]: required restriction,Internal movement
Argentina,2020-05-12,Workplace closure [2]: required closing for some,Workplace closure
Argentina,2020-07-01,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Argentina,2020-07-20,Workplace closure [2]: required closing for some,Workplace closure
Argentina,2020-08-07,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Argentina,2020-10-10,Workplace closure [2]: required closing for some,Workplace closure
Aruba,2020-01-01,Internal movement [0]: no measures,Internal movement
Aruba,2020-01-01,International travel [0]: no measures,International travel
Aruba,2020-01-01,Public campaign [0]: no measures,Public campaign
Aruba,2020-01-01,Public events [0]: no measures,Public events
Aruba,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Aruba,2020-01-01,Public transport [0]: no measures,Public transport
Aruba,2020-01-01,School closure [0]: no measures,School closure
Aruba,2020-01-01,Stay at home [0]: no measures,Stay at home
Aruba,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Aruba,2020-03-16,School closure [3]: required closing for all,School closure
Aruba,2020-03-17,International travel [4]: Total border closure,International travel
Aruba,2020-03-18,Public campaign [2]: coordinated public information campaign,Public campaign
Aruba,2020-03-21,Stay at home [1]: recommended,Stay at home
Aruba,2020-03-21,Workplace closure [2]: required closing for some,Workplace closure
Aruba,2020-03-29,Internal movement [2]: required restriction,Internal movement
Aruba,2020-03-29,Public events [2]: required cancellation,Public events
Aruba,2020-03-29,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Aruba,2020-03-29,Stay at home [2]: required with exception,Stay at home
Aruba,2020-03-29,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Aruba,2020-04-10,Stay at home [3]: required with minimal exception,Stay at home
Aruba,2020-04-11,Stay at home [2]: required with exception,Stay at home
Aruba,2020-04-12,Stay at home [3]: required with minimal exception,Stay at home
Aruba,2020-04-14,Stay at home [2]: required with exception,Stay at home
Aruba,2020-05-04,Workplace closure [2]: required closing for some,Workplace closure
Aruba,2020-05-18,Public events [0]: no measures,Public events
Aruba,2020-05-18,Public gatherings [0]: no measures,Public gatherings
Aruba,2020-05-18,School closure [0]: no measures,School closure
Aruba,2020-05-28,Stay at home [1]: recommended,Stay at home
Aruba,2020-05-31,Internal movement [1]: recommended refrain,Internal movement
Aruba,2020-06-10,International travel [3]: Ban on high-risk regions,International travel
Aruba,2020-06-10,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Aruba,2020-08-04,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Aruba,2020-08-07,Workplace closure [2]: required closing for some,Workplace closure
Aruba,2020-08-18,School closure [3]: required closing for all,School closure
Aruba,2020-08-28,Stay at home [2]: required with exception,Stay at home
Aruba,2020-09-03,School closure [1]: recommended closing,School closure
Aruba,2020-09-07,Internal movement [0]: no measures,Internal movement
Aruba,2020-09-11,Public events [2]: required cancellation,Public events
Aruba,2020-09-21,International travel [1]: screening,International travel
Australia,2020-01-01,International travel [0]: no measures,International travel
Australia,2020-01-01,Public campaign [0]: no measures,Public campaign
Australia,2020-01-01,Public events [0]: no measures,Public events
Australia,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Australia,2020-01-01,School closure [0]: no measures,School closure
Australia,2020-01-01,Stay at home [0]: no measures,Stay at home
Australia,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Australia,2020-01-25,Public campaign [2]: coordinated public information campaign,Public campaign
Australia,2020-02-01,International travel [3]: Ban on high-risk regions,International travel
Australia,2020-03-16,Public events [1]: recommended cancellation,Public events
Australia,2020-03-16,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Australia,2020-03-18,Public events [2]: required cancellation,Public events
Australia,2020-03-19,Internal movement [2]: required restriction,Internal movement
Australia,2020-03-20,International travel [4]: Total border closure,International travel
Australia,2020-03-23,Workplace closure [2]: required closing for some,Workplace closure
Australia,2020-03-24,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Australia,2020-03-24,School closure [3]: required closing for all,School closure
Australia,2020-03-24,Stay at home [1]: recommended,Stay at home
Australia,2020-03-29,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Australia,2020-04-02,Stay at home [2]: required with exception,Stay at home
Australia,2020-04-18,School closure [2]: required closing for some,School closure
Australia,2020-05-15,Stay at home [1]: recommended,Stay at home
Australia,2020-05-15,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Australia,2020-05-18,Public transport [1]: recommended closure or volume reduction,Public transport
Australia,2020-05-29,Stay at home [0]: no measures,Stay at home
Australia,2020-06-01,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Australia,2020-06-09,School closure [0]: no measures,School closure
Australia,2020-06-12,Public events [1]: recommended cancellation,Public events
Australia,2020-06-23,School closure [2]: required closing for some,School closure
Australia,2020-07-01,Public events [2]: required cancellation,Public events
Australia,2020-07-01,School closure [3]: required closing for all,School closure
Australia,2020-07-01,Stay at home [2]: required with exception,Stay at home
Australia,2020-07-01,Workplace closure [2]: required closing for some,Workplace closure
Australia,2020-07-08,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Australia,2020-07-08,Stay at home [3]: required with minimal exception,Stay at home
Australia,2020-07-13,School closure [2]: required closing for some,School closure
Australia,2020-07-16,Stay at home [2]: required with exception,Stay at home
Australia,2020-08-02,Stay at home [3]: required with minimal exception,Stay at home
Australia,2020-08-02,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Australia,2020-08-03,School closure [3]: required closing for all,School closure
Australia,2020-08-28,Stay at home [2]: required with exception,Stay at home
Australia,2020-09-28,School closure [2]: required closing for some,School closure
Australia,2020-09-28,Workplace closure [2]: required closing for some,Workplace closure
Australia,2020-10-16,International travel [3]: Ban on high-risk regions,International travel
Austria,2020-01-01,Internal movement [0]: no measures,Internal movement
Austria,2020-01-01,International travel [0]: no measures,International travel
Austria,2020-01-01,Public campaign [0]: no measures,Public campaign
Austria,2020-01-01,Public events [0]: no measures,Public events
Austria,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Austria,2020-01-01,Public transport [0]: no measures,Public transport
Austria,2020-01-01,School closure [0]: no measures,School closure
Austria,2020-01-01,Stay at home [0]: no measures,Stay at home
Austria,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Austria,2020-02-24,Public campaign [2]: coordinated public information campaign,Public campaign
Austria,2020-03-09,International travel [3]: Ban on high-risk regions,International travel
Austria,2020-03-11,Public events [2]: required cancellation,Public events
Austria,2020-03-12,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Austria,2020-03-13,Internal movement [2]: required restriction,Internal movement
Austria,2020-03-13,Public transport [1]: recommended closure or volume reduction,Public transport
Austria,2020-03-16,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Austria,2020-03-16,School closure [3]: required closing for all,School closure
Austria,2020-03-16,Stay at home [2]: required with exception,Stay at home
Austria,2020-03-16,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Austria,2020-04-14,Workplace closure [2]: required closing for some,Workplace closure
Austria,2020-04-23,Internal movement [1]: recommended refrain,Internal movement
Austria,2020-05-01,Stay at home [0]: no measures,Stay at home
Austria,2020-05-02,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Austria,2020-05-04,School closure [2]: required closing for some,School closure
Austria,2020-05-11,Public transport [0]: no measures,Public transport
Austria,2020-05-18,School closure [1]: recommended closing,School closure
Austria,2020-05-29,Internal movement [0]: no measures,Internal movement
Austria,2020-06-03,School closure [0]: no measures,School closure
Austria,2020-06-04,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Austria,2020-07-10,Public events [1]: recommended cancellation,Public events
Austria,2020-07-10,Public gatherings [2]: restrictions between 100-1000 people,Public gatherings
Austria,2020-07-10,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Austria,2020-09-06,International travel [3]: Ban on high-risk regions,International travel
Austria,2020-09-06,School closure [1]: recommended closing,School closure
Austria,2020-09-17,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Austria,2020-09-29,Stay at home [1]: recommended,Stay at home
Austria,2020-10-13,Public events [2]: required cancellation,Public events
Austria,2020-10-13,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Azerbaijan,2020-01-01,International travel [0]: no measures,International travel
Azerbaijan,2020-01-01,Public campaign [0]: no measures,Public campaign
Azerbaijan,2020-01-01,Public events [0]: no measures,Public events
Azerbaijan,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Azerbaijan,2020-01-01,School closure [0]: no measures,School closure
Azerbaijan,2020-01-01,Stay at home [0]: no measures,Stay at home
Azerbaijan,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Azerbaijan,2020-01-30,International travel [1]: screening,International travel
Azerbaijan,2020-02-27,Public campaign [2]: coordinated public information campaign,Public campaign
Azerbaijan,2020-02-29,International travel [3]: Ban on high-risk regions,International travel
Azerbaijan,2020-03-03,School closure [3]: required closing for all,School closure
Azerbaijan,2020-03-10,Public events [1]: recommended cancellation,Public events
Azerbaijan,2020-03-14,Public events [2]: required cancellation,Public events
Azerbaijan,2020-03-14,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Azerbaijan,2020-03-19,Internal movement [2]: required restriction,Internal movement
Azerbaijan,2020-03-23,Workplace closure [2]: required closing for some,Workplace closure
Azerbaijan,2020-03-31,Public transport [1]: recommended closure or volume reduction,Public transport
Azerbaijan,2020-03-31,Stay at home [3]: required with minimal exception,Stay at home
Azerbaijan,2020-03-31,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Azerbaijan,2020-04-16,International travel [4]: Total border closure,International travel
Azerbaijan,2020-04-27,Workplace closure [2]: required closing for some,Workplace closure
Azerbaijan,2020-05-09,Public transport [0]: no measures,Public transport
Azerbaijan,2020-05-18,Stay at home [1]: recommended,Stay at home
Azerbaijan,2020-06-03,Stay at home [3]: required with minimal exception,Stay at home
Azerbaijan,2020-06-08,Stay at home [1]: recommended,Stay at home
Azerbaijan,2020-06-14,Stay at home [3]: required with minimal exception,Stay at home
Azerbaijan,2020-06-17,Stay at home [1]: recommended,Stay at home
Azerbaijan,2020-06-21,Public transport [2]: required closure,Public transport
Azerbaijan,2020-06-21,Stay at home [3]: required with minimal exception,Stay at home
Azerbaijan,2020-07-28,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Azerbaijan,2020-08-10,Stay at home [2]: required with exception,Stay at home
Azerbaijan,2020-08-10,Workplace closure [2]: required closing for some,Workplace closure
Azerbaijan,2020-09-06,Public transport [1]: recommended closure or volume reduction,Public transport
Azerbaijan,2020-09-15,School closure [2]: required closing for some,School closure
Azerbaijan,2020-09-18,Stay at home [1]: recommended,Stay at home
Bahrain,2020-01-01,Internal movement [0]: no measures,Internal movement
Bahrain,2020-01-01,International travel [0]: no measures,International travel
Bahrain,2020-01-01,Public campaign [0]: no measures,Public campaign
Bahrain,2020-01-01,Public events [0]: no measures,Public events
Bahrain,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Bahrain,2020-01-01,Public transport [0]: no measures,Public transport
Bahrain,2020-01-01,School closure [0]: no measures,School closure
Bahrain,2020-01-01,Stay at home [0]: no measures,Stay at home
Bahrain,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Bahrain,2020-01-22,Public campaign [2]: coordinated public information campaign,Public campaign
Bahrain,2020-01-27,International travel [1]: screening,International travel
Bahrain,2020-02-12,International travel [3]: Ban on high-risk regions,International travel
Bahrain,2020-02-24,School closure [2]: required closing for some,School closure
Bahrain,2020-02-26,School closure [3]: required closing for all,School closure
Bahrain,2020-03-18,Internal movement [1]: recommended refrain,Internal movement
Bahrain,2020-03-18,Public events [2]: required cancellation,Public events
Bahrain,2020-03-18,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bahrain,2020-03-18,Stay at home [1]: recommended,Stay at home
Bahrain,2020-03-18,Workplace closure [2]: required closing for some,Workplace closure
Bahrain,2020-03-22,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Bahrain,2020-03-26,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Bahrain,2020-03-28,Public transport [1]: recommended closure or volume reduction,Public transport
Bahrain,2020-04-09,Workplace closure [2]: required closing for some,Workplace closure
Bahrain,2020-07-07,Public transport [0]: no measures,Public transport
Bahrain,2020-08-23,Internal movement [0]: no measures,Internal movement
Bahrain,2020-08-23,Stay at home [0]: no measures,Stay at home
Bahrain,2020-09-16,School closure [2]: required closing for some,School closure
Bahrain,2020-09-17,Stay at home [2]: required with exception,Stay at home
Bangladesh,2020-01-01,International travel [0]: no measures,International travel
Bangladesh,2020-01-01,Public campaign [0]: no measures,Public campaign
Bangladesh,2020-01-01,Public events [0]: no measures,Public events
Bangladesh,2020-01-01,Public gatherings [0]: no measures,Public gatherings
Bangladesh,2020-01-01,School closure [0]: no measures,School closure
Bangladesh,2020-01-01,Stay at home [0]: no measures,Stay at home
Bangladesh,2020-01-01,Workplace closure [0]: no measures,Workplace closure
Bangladesh,2020-01-21,Public campaign [1]: public officials urging caution,Public campaign
Bangladesh,2020-01-22,International travel [1]: screening,International travel
Bangladesh,2020-01-28,Public campaign [2]: coordinated public information campaign,Public campaign
Bangladesh,2020-03-16,International travel [2]: Quarantine arrivals from high-risk regions,International travel
Bangladesh,2020-03-16,Public events [1]: recommended cancellation,Public events
Bangladesh,2020-03-16,School closure [3]: required closing for all,School closure
Bangladesh,2020-03-19,Internal movement [2]: required restriction,Internal movement
Bangladesh,2020-03-19,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Bangladesh,2020-03-19,Public transport [2]: required closure,Public transport
Bangladesh,2020-03-19,Stay at home [2]: required with exception,Stay at home
Bangladesh,2020-03-19,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Bangladesh,2020-03-21,Public events [2]: required cancellation,Public events
Bangladesh,2020-03-25,Stay at home [1]: recommended,Stay at home
Bangladesh,2020-03-31,International travel [3]: Ban on high-risk regions,International travel
Bangladesh,2020-04-10,Stay at home [2]: required with exception,Stay at home
Bangladesh,2020-05-01,Workplace closure [2]: required closing for some,Workplace closure
Bangladesh,2020-05-17,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Bangladesh,2020-05-31,Internal movement [0]: no measures,Internal movement
Bangladesh,2020-05-31,Public gatherings [3]: restrictions between 10-100 people,Public gatherings
Bangladesh,2020-05-31,Public transport [1]: recommended closure or volume reduction,Public transport
Bangladesh,2020-05-31,Stay at home [1]: recommended,Stay at home
Bangladesh,2020-05-31,Workplace closure [1]: recommended closing (or work from home),Workplace closure
Bangladesh,2020-06-16,Internal movement [2]: required restriction,Internal movement
Bangladesh,2020-06-16,Public gatherings [4]: restrictions less than 10 people,Public gatherings
Bangladesh,2020-06-16,Stay at home [2]: required with exception,Stay at home
Bangladesh,2020-07-16,Workplace closure [3]: required closing for all but essential sectors,Workplace closure
Barbados,2020-01-01,Internal movement [0]: no measures,Internal movement
